username,public_repos,public_gists,followers,following,repos_count,contribution,JavaScript,Java,HTML,CSS,C,Python,C++,TypeScript,C#,Dart,Kotlin,PHP,Go,industry_score
Thulya1995,12,0,0,0,12,4,0.06,100.0,0.09,50.01,0.55,99.44,0.31,0.0,0.0,0.0,0.0,71.6,0.0,19.22555555555555
supuni96,7,0,2,2,7,5,28.25,51.93,44.2,0.02,2.57,6.23,1.88,0.08,1.89,0.08,1.38,1.51,50.98,11.611111111111109
Rasinkani,9,0,0,0,9,2,15.86,12.59,10.64,2.31,12.76,23.43,37.32,0.56,2.97,0.34,1.58,1.82,1.16,7.852222222222222
gamage1995,26,12,16,13,26,12,44.04,20.12,22.69,16.9,5.66,15.91,21.55,36.77,12.56,0.0,0.36,1.26,0.46,16.182222222222222
lakruone,25,0,3,3,25,15,69.53,98.82,14.17,16.89,0.0,50.18,0.0,32.71,0.0,0.0,0.0,0.0,0.0,18.79444444444444
1995Pradeep,4,0,0,2,4,88,51.13,2.89,5.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.82611111111111,7.63
Thisuru,34,0,5,9,30,22,45.68,100.0,15.38,22.66,1.51,50.51,20.48,52.59,18.2,77.03,1.22,37.84,0.0,28.950000000000006
ImalkaPrasadini,34,0,0,0,30,9,9.07,12.81,32.77,10.23,12.44,23.2,23.48,18.57,2.86,0.33,1.55,1.78,1.15,11.902222222222223
paviniweerasinghe,17,0,0,0,17,2,46.37,12.9,20.76,20.02,8.93,21.91,22.5,0.51,2.36,0.43,1.94,2.95,2.18,10.986666666666668
GihanKLG,18,0,1,0,18,5,26.7,0.32,24.48,12.1,0.0,0.0,0.0,41.71,91.56,0.0,0.0,26.81,0.0,14.482222222222223
Charuka09,66,30,34,30,30,20,25.55,43.29,22.66,21.35,23.02,39.4,32.23,55.25,2.29,0.4,0.46,0.16,1.78,25.435555555555556
PiyumithaNirman,14,0,0,0,14,15,41.41,99.85,3.91,4.58,1.92,97.42,0.26,0.0,0.0,0.0,0.0,92.89,0.0,20.568888888888885
tharindumalshan1,36,0,3,0,30,11,57.14,51.23,15.65,7.09,2.21,47.15,29.53,25.46,2.14,0.43,0.52,60.78,1.03,20.519999999999996
SupunShashini,2,0,0,0,2,1,0.0,98.7,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,5.777777777777778
MaleeshaThalagala96,8,0,0,2,8,7,56.5,84.18,0.95,4.84,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,9.174444444444443
ThanujaSandeepani,3,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
kavindigunasekara,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nayomi16,30,0,1,4,30,8,24.43,67.01,27.7,7.46,7.67,27.46,27.44,44.54,2.04,0.04,0.25,0.59,1.57,16.844444444444445
ayesha1995,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DinooliUduwarage,8,0,6,1,8,3,98.7,0.0,10.43,34.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.52,0.0,14.011111111111111
Milinda96,69,4,5,48,30,14,25.44,55.41,12.3,3.35,0.0,35.37,6.71,43.76,9.7,0.0,6.85,7.06,25.98,21.551666666666666
